scenario_key,scenario_id,max_turns,n_trials,rate_actor_offers_time_in_window,rate_safe_path_reachable,rate_viewing_confirmed,rate_phone_requested_too_early,mean_first_offer_turn_0based,landlord_branch_counts_json
s02-screening-actor-starts-prod,outreach-screening-before-phone,3,10,0.0,0.0,0.0,0.0,,"{""branch-1-initial"": 10, ""branch-4-default-screening"": 30}"
s04-phone-request-actor-starts-prod,outreach-phone-request,3,10,0.0,0.0,0.0,0.0,,"{""branch-1-initial"": 10, ""branch-4-default-screening"": 30}"
s05-reply-actor-starts-prod,reply-after-landlord-question,3,10,0.0,0.0,0.0,0.0,,"{""branch-1-initial"": 10, ""branch-4-default-screening"": 30}"
